Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
31/12/2021,"1,498.28","1,485.97","1,499.07","1,485.97",875.73K,0.83%
30/12/2021,"1,485.97","1,490.96","1,493.38","1,484.82",747.86K,0.01%
29/12/2021,"1,485.82","1,494.39","1,498.91","1,485.82",843.88K,-0.57%
28/12/2021,"1,494.39","1,488.88","1,499.77","1,483.97",1.00M,0.37%
27/12/2021,"1,488.88","1,477.03","1,490.12","1,469.91",752.11K,0.80%
24/12/2021,"1,477.03","1,456.96","1,478.80","1,456.32",889.48K,1.38%
23/12/2021,"1,456.96","1,477.67","1,481.21","1,447.14",1.36M,-1.40%
22/12/2021,"1,477.67","1,478.74","1,489.24","1,471.84",1.07M,-0.07%
21/12/2021,"1,478.74","1,477.33","1,486.09","1,472.43",902.84K,0.10%
20/12/2021,"1,477.33","1,479.79","1,483.85","1,468.88",963.35K,-0.17%
17/12/2021,"1,479.79","1,476.61","1,487.73","1,476.61",1.11M,0.22%
16/12/2021,"1,476.61","1,475.50","1,482.32","1,468.95",927.54K,0.08%
15/12/2021,"1,475.50","1,476.02","1,481.67","1,468.21",906.08K,-0.04%
14/12/2021,"1,476.02","1,476.21","1,485.14","1,469.21",964.11K,-0.01%
13/12/2021,"1,476.21","1,463.54","1,481.70","1,463.54",865.58K,0.87%
10/12/2021,"1,463.54","1,467.98","1,475.85","1,461.78",798.29K,-0.30%
09/12/2021,"1,467.98","1,452.87","1,467.98","1,446.88",665.46K,1.04%
08/12/2021,"1,452.87","1,446.77","1,460.28","1,446.77",771.03K,0.42%
07/12/2021,"1,446.77","1,413.58","1,446.77","1,413.58",755.91K,2.35%
06/12/2021,"1,413.58","1,443.32","1,452.55","1,400.87",1.04M,-2.06%
03/12/2021,"1,443.32","1,482.05","1,491.20","1,443.32",1.10M,-2.61%
02/12/2021,"1,482.05","1,485.19","1,493.84","1,482.05",763.96K,-0.21%
01/12/2021,"1,485.19","1,478.44","1,487.68","1,471.30",876.73K,0.46%
30/11/2021,"1,478.44","1,484.84","1,503.09","1,471.57",1.08M,-0.43%
29/11/2021,"1,484.84","1,493.03","1,493.03","1,464.83",1.01M,-0.55%
26/11/2021,"1,493.03","1,500.81","1,511.68","1,488.83",1.06M,-0.52%
25/11/2021,"1,500.81","1,488.87","1,505.36","1,488.87",1.01M,0.80%
24/11/2021,"1,488.87","1,463.63","1,491.05","1,463.63",1.12M,1.72%
23/11/2021,"1,463.63","1,447.25","1,463.63","1,438.41",880.07K,1.13%
22/11/2021,"1,447.25","1,452.35","1,466.46","1,442.85",1.27M,-0.35%
19/11/2021,"1,452.35","1,469.83","1,481.53","1,434.69",1.52M,-1.19%
18/11/2021,"1,469.83","1,475.85","1,482.87","1,469.83",1.09M,-0.41%
17/11/2021,"1,475.85","1,466.45","1,477.04","1,464.78",860.80K,0.64%
16/11/2021,"1,466.45","1,476.57","1,476.97","1,459.08",1.22M,-0.69%
15/11/2021,"1,476.57","1,473.37","1,481.96","1,466.01",1.17M,0.22%
12/11/2021,"1,473.37","1,462.35","1,474.98","1,453.22",955.63K,0.75%
11/11/2021,"1,462.35","1,465.02","1,472.89","1,449.18",1.27M,-0.18%
10/11/2021,"1,465.02","1,461.50","1,470.19","1,457.98",985.54K,0.24%
09/11/2021,"1,461.50","1,467.57","1,474.20","1,457.57",1.03M,-0.41%
08/11/2021,"1,467.57","1,456.51","1,470.49","1,456.51",1.08M,0.76%
05/11/2021,"1,456.51","1,448.34","1,459.93","1,444.51",874.07K,0.56%
04/11/2021,"1,448.34","1,444.30","1,451.98","1,435.84",929.53K,0.28%
03/11/2021,"1,444.30","1,452.46","1,463.63","1,440.67",1.51M,-0.56%
02/11/2021,"1,452.46","1,438.97","1,452.46","1,438.83",1.01M,0.94%
01/11/2021,"1,438.97","1,444.27","1,451.81","1,435.57",1.13M,-0.37%
29/10/2021,"1,444.27","1,438.01","1,447.62","1,432.19",982.01K,0.44%
28/10/2021,"1,438.01","1,423.02","1,440.64","1,420.42",865.43K,1.05%
27/10/2021,"1,423.02","1,391.63","1,423.02","1,391.63",936.22K,2.26%
26/10/2021,"1,391.63","1,385.40","1,393.03","1,377.56",747.95K,0.45%
25/10/2021,"1,385.40","1,389.24","1,395.72","1,385.40",899.26K,-0.28%
22/10/2021,"1,389.24","1,384.77","1,393.70","1,384.77",798.13K,0.32%
21/10/2021,"1,384.77","1,393.80","1,398.45","1,384.77",709.07K,-0.65%
20/10/2021,"1,393.80","1,395.33","1,401.76","1,376.15",845.89K,-0.11%
19/10/2021,"1,395.33","1,395.53","1,399.66","1,388.95",639.44K,-0.01%
18/10/2021,"1,395.53","1,392.70","1,402.63","1,390.88",795.92K,0.20%
15/10/2021,"1,392.70","1,391.85","1,399.03","1,388.00",784.56K,0.06%
14/10/2021,"1,391.85","1,391.91","1,398.67","1,388.89",725.51K,0.00%
13/10/2021,"1,391.91","1,394.80","1,400.67","1,389.61",645.35K,-0.21%
12/10/2021,"1,394.80","1,394.09","1,400.78","1,389.43",742.81K,0.05%
11/10/2021,"1,394.09","1,372.73","1,394.64","1,372.73",764.35K,1.56%
08/10/2021,"1,372.73","1,365.99","1,373.18","1,365.93",632.86K,0.49%
07/10/2021,"1,365.99","1,362.82","1,367.64","1,360.57",693.03K,0.23%
06/10/2021,"1,362.82","1,354.63","1,362.82","1,354.63",637.00K,0.60%
05/10/2021,"1,354.63","1,339.54","1,354.63","1,339.54",636.27K,1.13%
04/10/2021,"1,339.54","1,334.89","1,347.49","1,333.53",736.08K,0.35%
01/10/2021,"1,334.89","1,342.06","1,344.06","1,332.97",738.17K,-0.53%
30/09/2021,"1,342.06","1,339.21","1,348.89","1,339.21",438.29K,0.21%
29/09/2021,"1,339.21","1,339.31","1,340.90","1,328.17",598.50K,-0.01%
28/09/2021,"1,339.31","1,324.99","1,341.81","1,316.41",623.51K,1.08%
27/09/2021,"1,324.99","1,351.17","1,354.38","1,324.99",778.44K,-1.94%
24/09/2021,"1,351.17","1,352.76","1,356.97","1,348.07",673.10K,-0.12%
23/09/2021,"1,352.76","1,350.68","1,361.09","1,350.43",997.61K,0.15%
22/09/2021,"1,350.68","1,339.84","1,350.71","1,336.63",779.65K,0.81%
21/09/2021,"1,339.84","1,350.48","1,350.48","1,324.82",859.68K,-0.79%
20/09/2021,"1,350.48","1,352.64","1,365.92","1,349.18",895.46K,-0.16%
17/09/2021,"1,352.64","1,345.87","1,356.45","1,345.87",852.78K,0.50%
16/09/2021,"1,345.87","1,345.83","1,353.12","1,341.23",599.77K,0.00%
15/09/2021,"1,345.83","1,339.70","1,347.70","1,334.97",692.09K,0.46%
14/09/2021,"1,339.70","1,341.43","1,349.13","1,336.84",730.45K,-0.13%
13/09/2021,"1,341.43","1,345.31","1,350.69","1,340.50",775.47K,-0.29%
10/09/2021,"1,345.31","1,343.98","1,350.43","1,343.98",598.73K,0.10%
09/09/2021,"1,343.98","1,333.61","1,345.59","1,332.67",642.57K,0.78%
08/09/2021,"1,333.61","1,341.90","1,344.49","1,328.35",626.08K,-0.62%
07/09/2021,"1,341.90","1,346.39","1,353.66","1,340.32",869.38K,-0.33%
06/09/2021,"1,346.39","1,334.65","1,348.36","1,334.65",944.41K,0.88%
01/09/2021,"1,334.65","1,331.47","1,338.02","1,328.13",719.96K,0.24%
31/08/2021,"1,331.47","1,328.14","1,336.14","1,325.69",733.83K,0.25%
30/08/2021,"1,328.14","1,313.20","1,329.62","1,313.20",676.54K,1.14%
27/08/2021,"1,313.20","1,301.12","1,313.20","1,285.16",685.06K,0.93%
26/08/2021,"1,301.12","1,309.55","1,316.26","1,295.77",524.29K,-0.64%
25/08/2021,"1,309.55","1,298.74","1,310.16","1,291.70",522.87K,0.83%
24/08/2021,"1,298.74","1,298.86","1,307.56","1,289.16",714.27K,-0.01%
23/08/2021,"1,298.86","1,329.43","1,329.43","1,298.86",795.07K,-2.30%
20/08/2021,"1,329.43","1,374.85","1,374.85","1,317.52",1.21M,-3.30%
19/08/2021,"1,374.85","1,360.94","1,374.85","1,352.94",728.17K,1.02%
18/08/2021,"1,360.94","1,363.09","1,370.50","1,355.83",689.78K,-0.16%
17/08/2021,"1,363.09","1,370.96","1,379.70","1,359.11",768.61K,-0.57%
16/08/2021,"1,370.96","1,357.05","1,372.33","1,357.05",827.71K,1.03%
13/08/2021,"1,357.05","1,353.05","1,357.41","1,336.74",744.15K,0.30%
12/08/2021,"1,353.05","1,357.79","1,365.01","1,353.05",741.56K,-0.35%
11/08/2021,"1,357.79","1,362.43","1,374.03","1,357.79",806.77K,-0.34%
10/08/2021,"1,362.43","1,359.86","1,370.35","1,358.12",716.54K,0.19%
09/08/2021,"1,359.86","1,341.45","1,361.12","1,334.69",688.43K,1.37%
06/08/2021,"1,341.45","1,345.55","1,351.85","1,341.45",736.16K,-0.30%
05/08/2021,"1,345.55","1,334.74","1,346.62","1,326.80",635.47K,0.81%
04/08/2021,"1,334.74","1,332.44","1,340.76","1,328.40",661.80K,0.17%
03/08/2021,"1,332.44","1,314.22","1,332.44","1,314.22",647.01K,1.39%
02/08/2021,"1,314.22","1,310.05","1,322.35","1,304.49",614.53K,0.32%
30/07/2021,"1,310.05","1,293.60","1,311.97","1,293.60",644.44K,1.27%
29/07/2021,"1,293.60","1,277.07","1,293.60","1,277.07",491.06K,1.29%
28/07/2021,"1,277.07","1,276.93","1,281.17","1,271.78",406.89K,0.01%
27/07/2021,"1,276.93","1,272.71","1,288.35","1,272.71",566.75K,0.33%
26/07/2021,"1,272.71","1,268.83","1,277.33","1,254.57",508.55K,0.31%
23/07/2021,"1,268.83","1,293.67","1,295.63","1,268.83",582.25K,-1.92%
22/07/2021,"1,293.67","1,270.79","1,294.16","1,266.54",536.41K,1.80%
21/07/2021,"1,270.79","1,273.29","1,284.33","1,266.71",451.95K,-0.20%
20/07/2021,"1,273.29","1,243.51","1,273.29","1,225.52",568.60K,2.39%
19/07/2021,"1,243.51","1,299.31","1,299.31","1,237.79",731.02K,-4.29%
16/07/2021,"1,299.31","1,293.92","1,304.37","1,293.92",415.12K,0.42%
15/07/2021,"1,293.92","1,279.91","1,299.18","1,270.77",419.14K,1.09%
14/07/2021,"1,279.91","1,297.54","1,305.37","1,264.68",547.97K,-1.36%
13/07/2021,"1,297.54","1,296.30","1,307.73","1,278.30",500.18K,0.10%
12/07/2021,"1,296.30","1,347.14","1,347.14","1,270.06",912.74K,-3.77%
09/07/2021,"1,347.14","1,374.68","1,374.68","1,335.90",713.99K,-2.00%
08/07/2021,"1,374.68","1,388.55","1,388.55","1,363.92",528.83K,-1.00%
07/07/2021,"1,388.55","1,354.79","1,388.55","1,334.58",733.80K,2.49%
06/07/2021,"1,354.79","1,411.13","1,418.99","1,354.79",773.51K,-3.99%
05/07/2021,"1,411.13","1,420.27","1,421.52","1,394.12",774.45K,-0.64%
02/07/2021,"1,420.27","1,422.89","1,424.28","1,415.82",706.83K,0.23%
01/07/2021,"1,417.08","1,412.15","1,417.27","1,402.18",753.56K,0.61%
30/06/2021,"1,408.55","1,410.83","1,419.61","1,408.18",595.29K,-0.11%
29/06/2021,"1,410.04","1,408.34","1,416.34","1,406.87",647.39K,0.30%
28/06/2021,"1,405.81","1,397.96","1,406.02","1,390.56",699.51K,1.13%
25/06/2021,"1,390.12","1,382.11","1,390.12","1,372.80",598.11K,0.75%
24/06/2021,"1,379.72","1,376.87","1,384.71","1,372.99",591.75K,0.21%
23/06/2021,"1,376.87","1,383.15","1,388.33","1,372.06",710.77K,-0.22%
22/06/2021,"1,379.97","1,380.84","1,385.98","1,375.00",746.95K,0.53%
21/06/2021,"1,372.63","1,373.59","1,381.74","1,367.85",768.18K,-0.37%
18/06/2021,"1,377.77","1,366.19","1,377.77","1,363.52",809.47K,1.31%
17/06/2021,"1,359.92","1,341.06","1,364.55","1,337.49",768.73K,0.25%
16/06/2021,"1,356.52","1,363.85","1,370.14","1,350.73",769.63K,-0.79%
15/06/2021,"1,367.36","1,361.58","1,372.72","1,356.59",730.94K,0.41%
14/06/2021,"1,361.72","1,352.73","1,368.53","1,352.73",775.73K,0.74%
11/06/2021,"1,351.74","1,326.79","1,352.47","1,322.08",731.26K,2.13%
10/06/2021,"1,323.58","1,332.90","1,336.71","1,317.49",723.49K,-0.70%
09/06/2021,"1,332.90","1,323.52","1,339.14","1,312.08",822.29K,0.99%
08/06/2021,"1,319.88","1,355.36","1,364.48","1,318.11",924.51K,-2.86%
07/06/2021,"1,358.78","1,374.59","1,375.74","1,347.21",876.69K,-1.11%
04/06/2021,"1,374.05","1,367.06","1,374.05","1,360.42",943.33K,0.72%
03/06/2021,"1,364.28","1,345.21","1,366.00","1,345.21",898.88K,1.75%
02/06/2021,"1,340.78","1,337.78","1,344.98","1,330.82",805.24K,0.22%
01/06/2021,"1,337.78","1,329.47","1,346.34","1,328.84",629.42K,0.73%
31/05/2021,"1,328.05","1,326.65","1,328.05","1,307.56",737.18K,0.57%
28/05/2021,"1,320.46","1,307.79","1,323.09","1,300.06",768.85K,1.30%
27/05/2021,"1,303.57","1,318.42","1,319.67","1,299.99",733.00K,-1.00%
26/05/2021,"1,316.70","1,308.04","1,317.30","1,304.68",713.07K,0.62%
25/05/2021,"1,308.58","1,299.19","1,308.58","1,297.23",679.06K,0.82%
24/05/2021,"1,297.98","1,287.50","1,299.83","1,287.36",715.51K,1.09%
21/05/2021,"1,283.93","1,272.84","1,289.03","1,268.46",698.93K,0.45%
20/05/2021,"1,278.22","1,264.62","1,278.22","1,255.78",745.21K,1.25%
19/05/2021,"1,262.49","1,254.78","1,262.71","1,250.58",694.35K,0.78%
18/05/2021,"1,252.68","1,259.57","1,262.22","1,249.02",692.48K,-0.48%
17/05/2021,"1,258.70","1,272.55","1,277.83","1,258.50",758.29K,-0.60%
14/05/2021,"1,266.36","1,266.43","1,271.45","1,259.97",730.99K,0.35%
13/05/2021,"1,261.99","1,262.98","1,273.49","1,261.99",711.52K,-0.56%
12/05/2021,"1,269.09","1,251.97","1,269.09","1,249.18",700.67K,1.04%
11/05/2021,"1,256.04","1,265.11","1,272.55","1,256.04",770.09K,-0.28%
10/05/2021,"1,259.58","1,239.96","1,259.58","1,236.85",773.06K,1.43%
07/05/2021,"1,241.81","1,245.48","1,250.50","1,231.92",783.04K,-0.70%
06/05/2021,"1,250.57","1,255.42","1,261.49","1,246.64",730.50K,-0.47%
05/05/2021,"1,256.43","1,244.69","1,265.93","1,244.69",744.43K,1.15%
04/05/2021,"1,242.20","1,222.08","1,242.80","1,212.56",798.49K,0.23%
29/04/2021,"1,239.39","1,234.91","1,239.39","1,231.25",647.16K,0.80%
28/04/2021,"1,229.55","1,220.26","1,230.91","1,217.49",612.70K,0.80%
27/04/2021,"1,219.75","1,213.84","1,220.96","1,204.14",618.17K,0.33%
26/04/2021,"1,215.77","1,251.25","1,251.25","1,214.14",744.95K,-2.62%
23/04/2021,"1,248.53","1,227.18","1,248.53","1,216.15",716.52K,1.69%
22/04/2021,"1,227.82","1,264.31","1,271.98","1,227.82",770.37K,-3.19%
20/04/2021,"1,268.28","1,267.74","1,286.32","1,261.28",843.60K,0.61%
19/04/2021,"1,260.58","1,243.58","1,260.58","1,233.77",817.13K,1.77%
16/04/2021,"1,238.71","1,245.06","1,254.61","1,227.14",986.88K,-0.68%
15/04/2021,"1,247.25","1,262.25","1,265.87","1,247.25",806.49K,-0.69%
14/04/2021,"1,255.87","1,240.90","1,255.87","1,233.01",861.96K,0.60%
13/04/2021,"1,248.33","1,262.44","1,268.02","1,247.66",1.03M,-0.33%
12/04/2021,"1,252.45","1,236.79","1,252.45","1,232.35",890.31K,1.69%
09/04/2021,"1,231.66","1,231.51","1,234.98","1,227.60",732.82K,-0.26%
08/04/2021,"1,234.89","1,242.38","1,246.40","1,232.26",664.51K,-0.60%
07/04/2021,"1,242.38","1,237.39","1,242.38","1,232.52",727.82K,0.20%
06/04/2021,"1,239.96","1,233.37","1,244.63","1,231.14",694.06K,0.32%
05/04/2021,"1,236.05","1,245.28","1,245.28","1,228.18",693.04K,0.95%
02/04/2021,"1,224.45","1,225.76","1,228.29","1,221.07",661.89K,0.69%
01/04/2021,"1,216.10","1,194.59","1,217.26","1,192.83",672.84K,2.07%
31/03/2021,"1,191.44","1,186.36","1,196.45","1,186.36",703.08K,0.43%
